Switzerland,7.587,1.39651,1.34951
Iceland,7.561,1.30232,1.40223
Denmark,7.527,1.32548,1.36058
Norway,7.522,1.459,1.33095
Canada,7.427,1.32629,1.32261
Finland,7.406,1.29025,1.31826
Netherlands,7.378,1.32944,1.28017
Sweden,7.364,1.33171,1.28907
New Zealand,7.286,1.25018,1.31967
Australia,7.284,1.33358,1.30923
Israel,7.278,1.22857,1.22393
Costa Rica,7.226,0.95578,1.23788
Austria,7.2,1.33723,1.29704
Mexico,7.187,1.02054,0.91451
United States,7.119,1.39451,1.24711
Brazil,6.983,0.98124,1.23287
Luxembourg,6.946,1.56391,1.21963
Ireland,6.94,1.33596,1.36948
Belgium,6.937,1.30782,1.28566
United Arab Emirates,6.901,1.42727,1.12575
United Kingdom,6.867,1.26637,1.28548
Oman,6.853,1.36011,1.08182
Venezuela,6.81,1.04424,1.25596
Singapore,6.798,1.52186,1.02
Panama,6.786,1.06353,1.1985
Germany,6.75,1.32792,1.29937
Chile,6.67,1.10715,1.12447
Qatar,6.611,1.69042,1.0786
France,6.575,1.27778,1.26038
Argentina,6.574,1.05351,1.24823
Czech Republic,6.505,1.17898,1.20643
Uruguay,6.485,1.06166,1.2089
Colombia,6.477,0.91861,1.24018
Thailand,6.455,0.9669,1.26504
Saudi Arabia,6.411,1.39541,1.08393
Spain,6.329,1.23011,1.31379
Malta,6.302,1.2074,1.30203
Taiwan,6.298,1.29098,1.07617
Kuwait,6.295,1.55422,1.16594
Suriname,6.269,0.99534,0.972
Trinidad,6.168,1.21183,1.18354
El Salvador,6.13,0.76454,1.02507
Guatemala,6.123,0.74553,1.04356
Uzbekistan,6.003,0.63244,1.34043
Slovakia,5.995,1.16891,1.26999
Japan,5.987,1.27074,1.25712
South Korea,5.984,1.24461,0.95774
Ecuador,5.975,0.86402,0.99903
Bahrain,5.96,1.32376,1.21624
Italy,5.948,1.25114,1.19777
Bolivia,5.89,0.68133,0.97841
Moldova,5.889,0.59448,1.01528
Paraguay,5.878,0.75985,1.30477
Kazakhstan,5.855,1.12254,1.12241
Slovenia,5.848,1.18498,1.27385
Lithuania,5.833,1.14723,1.25745
Nicaragua,5.828,0.59325,1.14184
Peru,5.824,0.90019,0.97459
Belarus,5.813,1.03192,1.23289
Poland,5.791,1.12555,1.27948
Malaysia,5.77,1.12486,1.07023
Croatia,5.759,1.08254,0.79624
Libya,5.754,1.13145,1.11862
Russia,5.716,1.13764,1.23617
Jamaica,5.709,0.81038,1.15102
Cyprus,5.689,1.20813,0.89318
Algeria,5.605,0.93929,1.07772
Turkmenistan,5.548,0.95847,1.22668
Mauritius,5.477,1.00761,0.98521
Hong Kong,5.474,1.38604,1.05818
Estonia,5.429,1.15174,1.22791
Indonesia,5.399,0.82827,1.08708
Vietnam,5.36,0.63216,0.91226
Turkey,5.332,1.06098,0.94632
Kyrgyzstan,5.286,0.47428,1.15115
Nigeria,5.268,0.65435,0.90432
Bhutan,5.253,0.77042,1.10395
Azerbaijan,5.212,1.02389,0.93793
Pakistan,5.194,0.59543,0.41411
Jordan,5.192,0.90198,1.05392
Montenegro,5.192,0.97438,0.90557
China,5.14,0.89012,0.94675
Zambia,5.129,0.47038,0.91612
Romania,5.124,1.04345,0.88588
Serbia,5.123,0.92053,1.00964
Portugal,5.102,1.15991,1.13935
Latvia,5.098,1.11312,1.09562
Philippines,5.073,0.70532,1.03516
Somaliland region,5.057,0.18847,0.95152
Morocco,5.013,0.73479,0.64095
Macedonia,5.007,0.91851,1.00232
Mozambique,4.971,0.08308,1.02626
Albania,4.959,0.87867,0.80434
Bosnia and Herzegovina,4.949,0.83223,0.91916
Lesotho,4.898,0.37545,1.04103
Dominican Republic,4.885,0.89537,1.17202
Laos,4.876,0.59066,0.73803
Mongolia,4.874,0.82819,1.3006
Swaziland,4.867,0.71206,1.07284
Greece,4.857,1.15406,0.92933
Lebanon,4.839,1.02564,0.80001
Hungary,4.8,1.12094,1.20215
Honduras,4.788,0.59532,0.95348
Tajikistan,4.786,0.39047,0.85563
Tunisia,4.739,0.88113,0.60429
Palestinian Territories,4.715,0.59867,0.92558
Bangladesh,4.694,0.39753,0.43106
Iran,4.686,1.0088,0.54447
Ukraine,4.681,0.79907,1.20278
Iraq,4.677,0.98549,0.81889
South Africa,4.642,0.92049,1.18468
Ghana,4.633,0.54558,0.67954
Zimbabwe,4.61,0.271,1.03276
Liberia,4.571,0.0712,0.78968
India,4.565,0.64499,0.38174
Sudan,4.55,0.52107,1.01404
Haiti,4.518,0.26673,0.74302
Congo (Kinshasa),4.517,0.0,1.0012
Nepal,4.514,0.35997,0.86449
Ethiopia,4.512,0.19073,0.60406
Sierra Leone,4.507,0.33024,0.95571
Mauritania,4.436,0.45407,0.86908
Kenya,4.419,0.36471,0.99876
